state,pic,
FL,https://media.gettyimages.com/photos/fort-lauderdale-strip-aerial-view-picture-id638189622?k=6&m=638189622&s=612x612&w=0&h=dITLWDj3agMUbQ-1DTr4dnVWk_mKC9l-Gtuj74hzQHY=,
GA,https://media.gettyimages.com/photos/piedmont-park-picture-id170174249?k=6&m=170174249&s=612x612&w=0&h=XsI9ZPRrEPdvZpv5DsQgJ4eF8aoHAP10no3bTw9IkNk=,
HI,https://media.gettyimages.com/photos/skyline-aerial-of-honolulu-hawaii-picture-id804786148?k=6&m=804786148&s=612x612&w=0&h=UBGEONb4QPOITQyRZQhA8NLuY7P4peotAjDxg-u5iaM=,
MA,https://media.gettyimages.com/photos/reflection-of-buildings-in-water-picture-id739245555?k=6&m=739245555&s=612x612&w=0&h=4_0IkQlVyOluh1yU3JNRk69AX9N130-1mmmgclo56nI=,
MD,https://media.gettyimages.com/photos/baltimore-morning-picture-id134183171?k=6&m=134183171&s=612x612&w=0&h=BkUmWV5yWxk3r79a7T3dWslwY8vgoFgDDZxiZJmVs8U=,
ME,https://media.gettyimages.com/photos/downtown-portsmouth-skyline-picture-id690684248?k=6&m=690684248&s=612x612&w=0&h=g4UqnVOJwAvlk__wxBAlT7_S_SzSZFPmkcVR0OGePEA=,
MI,https://media.gettyimages.com/photos/detroit-aerial-panorama-picture-id859451446?k=6&m=859451446&s=612x612&w=0&h=5_FJrhdXgwFH6kokXQgd3rVOPlaIOipf_DPbn321N8w=,
MN,https://media.gettyimages.com/photos/minneapolis-cityscape-picture-id836373158?k=6&m=836373158&s=612x612&w=0&h=Vi31s7WaIZNBomzT7yPClpQq6z7A0SxbHgXWwp9g0J8=,
MO,https://media.gettyimages.com/photos/the-plaza-of-the-courthouse-underneath-the-st-louis-arch-in-missouri-picture-idmedwt16049?k=6&m=medwt16049&s=612x612&w=0&h=Dv5IRoEdItQTi5K_tOPEMCUru-q591qllsqSGTRwHlw=,
NV,https://media.gettyimages.com/photos/las-vegas-strip-picture-id517872069?k=6&amp;m=517872069&amp;s=612x612&amp;w=0&amp;h=fy7ABLa5qGwArqZICUoLlcdXEwfD0RxGw2sFiVKrUbs=,
NY,https://media.gettyimages.com/photos/the-city-of-dreams-new-york-citys-skyline-at-twilight-picture-id599766748?k=6&amp;m=599766748&amp;s=612x612&amp;w=0&amp;h=lH6tE3v2zfcgelLSuA4IQ85ta2js9NfToMLfXlYerng=,
OH,https://media.gettyimages.com/photos/columbus-ohio-usa-picture-id459200923?k=6&amp;m=459200923&amp;s=612x612&amp;w=0&amp;h=sQOIfBy6KUd2SLN_XanHuVttsqdYXTWXp51V4Z85qys=,
OK,https://media.gettyimages.com/photos/tulsa-skyline-pond-and-fountains-picture-id185061784?k=6&amp;m=185061784&amp;s=612x612&amp;w=0&amp;h=GdvzUvGjfMoZuKGNpBhnp2KlUWVPQYZz2C3m9Dx1J44=,
OR,https://media.gettyimages.com/photos/portland-skyline-picture-id157607453?k=6&amp;m=157607453&amp;s=612x612&amp;w=0&amp;h=5LUSDD3cihgQ43ZP8K2aq-684GRkLf3byvXHQjGnPbQ=,
PA,https://media.gettyimages.com/photos/benjamin-franklin-parkway-philadelphia-skyline-picture-id696619958?k=6&amp;m=696619958&amp;s=612x612&amp;w=0&amp;h=n4tBGxZp3umVhrXvmYToydLTn5sJoPxdfet3oq3qF1Q=,
NE,https://media.gettyimages.com/photos/omaha-kerry-bridge-picture-id511886014?k=6&amp;m=511886014&amp;s=612x612&amp;w=0&amp;h=Vk4XLwRjk3jbFFR04USgkA1laVwgk5BWDq8PafgnI8Q=,
NH,https://media.gettyimages.com/photos/autumn-in-manchester-new-hampshire-picture-id832170372?k=6&amp;m=832170372&amp;s=612x612&amp;w=0&amp;h=Du-AVpNFSHeHdbSQ3Q5WMK5WG9XB1i8Uv2BPbeVinTg=,
NJ,https://media.gettyimages.com/photos/aerial-view-of-manhattan-from-jersry-city-new-york-usa-picture-id946082240?k=6&amp;m=946082240&amp;s=612x612&amp;w=0&amp;h=p8CP75xxTJnX0rx2lDIU1unj9TDdqQL9dCv3TAIo4nA=,
NM,https://media.gettyimages.com/photos/albuquerque-skyline-at-dusk-picture-id185066424?k=6&amp;m=185066424&amp;s=612x612&amp;w=0&amp;h=r9uQf8WVwF6Xvindam5MA5mfe7lhN15rNh7G_gjSRZM=,
ND,https://media.gettyimages.com/photos/fargo-north-dakota-picture-id823611142?k=6&amp;m=823611142&amp;s=612x612&amp;w=0&amp;h=R1ScS9mULCt2g9LYZ1OS8NnUjW8QPtCvLnOJP5P6hZ0=,
MS,https://media.gettyimages.com/photos/night-view-of-the-arch-in-the-st-louis-skyline-picture-id184405725?k=6&amp;m=184405725&amp;s=612x612&amp;w=0&amp;h=gdum9LthaM_HSJ7gr_tXJDH_BIAFUnhP5iPdb5vyghc=,
